from,to
TA,SLFA
GD,BDE
GD,WPR
BH,SVZ
BH,HFMN
BH,JMT
BH,NM
BH,CVR
TI,IH
UH,FJ
UH,SL
UH,BL
TB,PHTS
TB,RYL
TB,PHSW
SSR,MUFBW
US,IS
MT,VZUDS
JR,HSDM
SMH,HSDM
IF,HSDM
AB,HSDM
JR,SPM
SMH,FKS
SMH,GFKN
JSR,HSU
MB,HSU
CB,HSU
TMR,HSU
HM,HSU
JSR,UKU
JSR,ISUNU
JSR,IH
JSR,AS
MB,EO
MB,VDEEI
MB,UU
MB,UKU
SS,HSP
GF,HSP
SNSL,HSP
SNSL,Sp
JW,HSP
GF,W
CK,HSR
KW,HSR
WB,HSR
COE,HSR
AG,HSR
MK,HSR
ML,HSR
KW,SBB
KW,DB
WB,GFIF
WB,WIUB
WB,GFA
WB,DGFNB
WB,DNB
WB,EvBa
WB,EC
WB,BS
WB,IFFPR
WB,IGM
WB,AIBW
WB,RMB
WB,RIDW
WB,VDI
WB,WGAB
COE,FETZEE
COE,IH
AG,AS
AG,MES
AG,IH
AG,DHBW
MK,REW
MK,BWI
HSFGSG,UB
HSFGSG,PLL
HSFGSG,KM
HSFGSG,BR
HSFGSG,HW
PLL,MDBG
PLL,MVCUJ
PLL,THHS
HW,RB
KM,IJOSA
KM,ESF
KM,DFG
HSFGK,CR
HSFGK,JB
HSFGK,TMD
HSFGK,FR
HSFGK,NB
FR,HM
CR,KIU
KK,KS
KK,MAZSS
KK,TDT
KK,GW
TDT,EL
KS,KDL
KS,HKG
KS,SSK
KS,VM
KS,KSS
JM,HoScMa
KU,HoScMa
HK,HoScMa
MP,HoScMa
HDG,MHS
MH,MHS
PL,MHS
FWK,MHF
KRV,MHF
SF,HoScKa
EMG,HoScKa
BW,HoScKa
EML,HoScKa
UG,AkSt
EP,AkSt
UL,AkSt
CB,MFWFUKBW
CB,UniFre
CB,LFS
CB,UM
JM,KEG
KU,SWR
HK,VDM
MP,FoKa
MP,TUD
MP,KHBS
MP,ZFKUM
MP,FKK
MP,KIFT
HDG,RWTHA
HDG,SPD
HDG,VO
HDG,IAOLANA
HDG,DHUP
HDG,ELSAD
HDG,BERUR
IHM,BrSo
IHM,RBS
IHM,GPI
IHM,KaScSt
IHM,UT
IHM,UNICEF
IHM,BS
IHM,DeRe
IHM,EFC
MH,SPARDAB
MH,HSF
PL,T
PL,BFBUF
PL,DPE
FWK,DFL
FWK,SCF
KRV,WGF
KRV,UniFre
JRR,AkSt
JRR,FDSM
JRR,KFSIM
JRR,GDSFIB
JRR,GR
JRR,GeRe
JRR,RG
JRR,BaBe
JRR,BCD
JRR,BDSZ
UG,KuSt
UG,ADB
UG,CGS
UG,WSS
UG,StSt
UG,KBW
UG,KL
EP,MUFBW
EP,ZKM
UL,KuMa
UL,KOG
UL,DeMu
UL,ADKB
SF,GZVVL
SF,BueSt
SF,DSFCC
SF,SPK
SF,WD
SF,VBIKKB
SF,DM
SF,VUT
SF,GEMA
SF,KDDW
SF,RC
BW,SK
EML,DrBa
DFX,SeSe
RMW,PHSW
WDN,PHSW
HGR,UR
HGR,PHSW
HR,PHSW
KMM,PHSF
ABH,PHSF
CM,PHSF
SSL,PHSF
KH,PHSH
JLG,PHSH
RL,PHSH
AT,PHSH
GWN,PHSH
ELB,PHSK
AR,PHSK
RR,PHSK
DFX,CF
DFX,DD
DFX,PHSK
EWH,PHSS
HH,PHSS
CT,PHSS
AZ,PHSS
UH,PHSL
TB,PHSL
MM,PHSL
US,PHSL
MT,PHSL
RMW,LB
WDN,FDP
WDN,ADMW
WDN,EW
WDN,BD
HR,UT
KMM,UZ
KMM,ScNa
ABH,IH
CM,OZ
CM,MG
KH,SD
KH,VD
KH,HU
KH,RC
KH,FrHeFr
KH,FT
KH,FK
KH,TH
JLG,FL
RL,MLP
AT,GeSt
AT,HiHe
AT,DeKr
AT,NC
GWN,OSZE
GWN,FHPM
GWN,SPD
GWN,AW
GWN,HC
GWN,DeTs
GWN,FD
GWN,HoBu
GWN,DTG
GWN,OU
GWN,WePf
AR,EvBa
AR,BG
RR,GE
RR,BU
RR,KG
RR,KaMe
RR,StGm
RR,StKl
RR,KF
RR,KB
RR,StHe
RR,BK
RR,VK
RR,RMO
RR,VJ
EWH,SI
HH,SZ
AZ,FEM
AZ,DGG
AZ,AIF
AZ,ZOS
AZ,EM
AZ,EA
AZ,EGL
UH,SBW
UH,SBL
UH,FrJe
UH,BL
TB,UT
TB,RoYoLi
MM,SC
SS,SWR
SS,FFT
SSL,DeMu
MT,TT
MT,SELF
MBH,HSKTW
WG,HSKTW
CRR,HSKTW
TR,HSKTW
FP,HSKTW
AP,HSFR
RP,HSFR
KMR,HSFR
BB,HSFR
IB,HSFR
GP,HSFR
UK,HSO
KE,HSO
NO,HSO
MR,HSO
BSR,HSO
BSP,HSO
HT,HSWUNG
MRR,HSWUNG
SH,HSWUNG
WP,HSWUNG
SSR,HSWUNG
JS,HSWUNG
GB,HSTS
MDZ,HSTS
JLR,HSTS
WS,HSTS
MS,HSTS
MBH,KP
WG,FFBB
WG,GS
WG,SZBB
WG,IH
TR,MKS
TR,ICC
MR,TRT
BSR,STBW
BSR,DS
BSP,FSF
BSP,BEM
WP,GePu
GB,DA
GB,DGVF
MDZ,HVBF
MDZ,FTR
MDZ,BF
MS,BDA
MS,ENA
MS,SDV
BB,EuMi
BB,UnHo
BB,GA
BB,EKFM
BB,TNL
BB,PID
KMR,VOE
KMR,AKLF
KMR,Sp
KMR,NSNS
KMR,TBW
KMR,ScTo
HSM,EE
HSM,UF
HSM,TP
HSM,MSR
KIT,RS
KIT,AK
KIT,CET
KIT,PG
KIT,SKH
KIT,WDL
