from,to
AkSt,JRR
AkSt,UG
AkSt,EP
AkSt,UL
JR,SPM
UG,KuSt
UG,ADB
UG,CGS
UG,WSS
UG,StSt
UG,KBW
UG,KL
EP,MUFBW
EP,ZKM
UL,KuMa
UL,KOG
UL,DeMu
UL,ADKB
HoScKa,SF
HoScKa,EMG
HoScKa,BW
HoScKa,EML
SF,GZVVL
SF,BueSt
SF,DSFCC
SF,SPK
SF,WD
SF,VBIKKB
SF,DM
SF,VUT
SF,GEMA
SF,KDDW
SF,RC
BW,SK
EML,DrBa
HoScMa,JM
HoScMa,KU
HoScMa,HK
HoScMa,MP
JM,KEG
KU,SWR
HK,VDM
MP,FoKa
MP,TUD
MP,KHBS
MP,ZFKUM
MP,FKK
MP,KIFT
MHF,FWK
MHF,KRV
FWK,DFL
FWK,SCF
KRV,WGF
KRV,UniFre
MHS,HDG
MHS,MH
MHS,PL
HDG,RWTHA
HDG,SPD
HDG,VO
HDG,IAOLANA
HDG,DHUP
HDG,ELSAD
HDG,BERUR
MH,SPARDAB
MH,HSF
PL,T
PL,BFBUF
PL,DPE
HSDM,JR
HSDM,SMH
HSDM,IF
HSDM,AB
SMH,FKS
SMH,GFKN
