from,to
KIT,RS
KIT,AK
KIT,CET
KIT,PG
KIT,SKH
KIT,WDL
KIT,SQ
KIT,VS
KIT,SSZ
KIT,DZ
RS,ETHWPF
RS,FRS
RS,CFROED
RS,OEBUVNW
RS,SN
RS,DFG
AK,KSA
AK,CHBS
AK,StKa
CET,FIFAUIS
CET,CFASRD
CET,VFDF
CET,OFFISII
CET,BITUNM
CET,ESB
CET,ADADT
CET,BADW
PG,VDV
WDL,TUB
WDL,MPI
WDL,ALS
SQ,JQS
SQ,BMWSHQ
SQ,ED
VS,DFG
SSZ,HBS
SSZ,DEK
DZ,TUIG
HSKTW,MBH
HSKTW,WG
HSKTW,CRR
HSKTW,TR
HSKTW,FP
MBH,KP
WG,FFBB
WG,GS
WG,SZBB
WG,IH
TR,MKS
TR,ICC
HSFR,AP
HSFR,RP
HSFR,KMR
HSFR,BB
HSFR,IB
HSFR,GP
KMR,VOE
KMR,AKLF
KMR,Sp
KMR,NSNS
KMR,TBW
KMR,ScTo
BB,EuMi
BB,UnHo
BB,GA
BB,EKFM
BB,TNL
BB,PID
HSWUNG,HT
HSWUNG,MRR
HSWUNG,SH
HSWUNG,WP
HSWUNG,SSR
HSWUNG,JS
WP,GePu
SSR,MUFBW
HSTS,GB
HSTS,MDZ
HSTS,JLR
HSTS,WS
HSTS,MS
GB,DA
GB,DGVF
MDZ,HVBF
MDZ,FTR
MDZ,BF
MS,BDA
MS,ENA
MS,SDV
