from,to
UH,FJ
UH,SL
UH,BL
TB,PHTS
TB,RYL
TB,PHSW
SSR,MUFBW
US,IS
MT,VZUDS
JR,HSDM
SMH,HSDM
IF,HSDM
AB,HSDM
JR,SPM
SMH,FKS
SMH,GFKN
JSR,HSU
MB,HSU
CB,HSU
TM,HSU
HM,HSU
JSR,UKU
JSR,ISUNU
JSR,IH
JSR,AS
MB,EO
MB,VDEEI
MB,UU
MB,UKU
GF,HSP
SSR,HSP
SSl,HSP
JW,HSP
GF,WZM
SSR,SSR
CK,HSR
KW,HSR
WB,HSR
COE,HSR
AG,HSR
MK,HSR
ML,HSR
KW,SSB
KW,DB
WB,GFIF
WB,WIUB
WB,GFA
WB,DGFNB
WB,DNB
WB,EBW
WB,EC
WB,BS
WB,IFFPR
WB,IGM
WB,AIBW
WB,RMB
WB,RIDW
WB,VDI
WB,WGAB
COE,FETZEE
COE,IHK
AG,AS
AG,MES
AG,IH
AG,DHBW
MK,REW
MK,BWI
HSFGSG,UB
HSFGSG,PLL
HSFGSG,KM
HSFGSG,BR
HSFGSG,HW
PLL,MDBG
PLL,MVCUJ
PLL,THHS
HW,RB
KM,IJOSA
KM,ESF
KM,DF
HSFGK,CR
HSFGK,JB
HSFGK,TMD
HSFGK,FR
HSFGK,NB
FR,HM
CR,HSP
CR,KIU
KK,KS
KK,MAZSS
KK,TDT
KK,GW
TDT,EL
KS,KDL
KS,HKG
KS,SSK
KS,VM
KS,KSS
IHSL,MA
IHSL,HG
IHSL,CH
IHSL,DK
IHSL,JL
IHSL,GM
IHSL,IR
MA,LM
HG,LM
HG,PS
DK,SG
JL,LM
GM,ETFL
CB,HoScHe
BE,HoScHe
CE,HoScHe
MTM,HoScHe
MW,HoScHe
MO,HoScHe
MD,HoScHe
SK,HoScHe
JM,HoScMa
KU,HoScMa
HK,HoScMa
MP,HoScMa
HDG,MHS
IH,MHS
MH,MHS
PL,MHS
FWK,MHF
KRV,MHF
SF,HoScKa
EM,HoScKa
BW,HoScKa
EML,HoScKa
JR,AS
UG,AS
EP,AS
UL,AS
CB,MFWFUKBW
CB,UniFre
CB,LFS
CB,UM
BE,UnHe
BE,LBW
BE,KSKDSTVNZK
BE,IAOG
BE,DADT
BE,MRN
BE,DAI
BE,DADNL
CEZ,KDFHB
CEZ,Gr
CEZ,TiBr
CEZ,Ar
CEZ,ASB
CEZ,DS
CEZ,KB
CEZ,BP
CEZ,JKSB
CEZ,ThBr
CEZ,FM
CEZ,ÜM
CEZ,MuBr
CEZ,GV
MTM,BDI
MTM,ZJ
MW,FH
MO,UnHe
MO,SDDV
MO,HIAA
MD,LDJGIH
MD,ZDJID
MD,JGO
SKN,LBS
SKN,ESKZS
SKN,JWGU
SKN,IBPFV
SKN,SDFDEJE
SKN,DN
SKN,FFJSUK
SKN,ASF
SKN,SJ
SKN,OIDHS
SKN,FDDF
SKN,WRG
SKN,ZDF
SKN,AJC
SKN,SFI
SKN,LBI
SKN,SADWZL
SKN,JMB
JM,KEG
KU,SWR
HK,VDM
MP,FoKa
MP,TUD
MP,KHBS
MP,ZFKUM
MP,FKK
MP,KIFT
HDG,RWTHA
HDG,SPD
HDG,VO
HDG,IAOLANA
HDG,DHUP
HDG,ELSAD
HDG,BERUR
IHM,BrSo
IHM,RBS
IHM,GPI
IHM,KuSt
IHM,UT
IHM,UNICEF
IHM,BS
IHM,DeRe
IHM,EFC
IHM,GI
MH,SPARDAB
MH,HSF
PL,T
PL,BFBUF
PL,DPE
FWK,DFL
FWK,SCF
FWK,WB
KRV,WGF
KRV,UnFr
JRR,FDSM
JRR,KFSIM
JRR,GDSF
JRR,GR
JRR,GeRe
JRR,RG
JRR,BB
JRR,BCD
JRR,BDSZ
UG,BaBe
UG,ADB
UG,CGS
UG,WSS
UG,StSt
UG,KuBr
UG,KL
EP,MUFBW
EP,ZKM
UL,KuMa
UL,KOG
UL,DeMu
UL,ADKB
SF,GZVVL
SF,BüSt
SF,DSFCC
SF,SPK
SF,WD
SF,VBIKKB
SF,DM
SF,VUT
SF,GEMA
SF,KDDW
SF,RCBN
EM,HSM
BW,SK
EML,DrBa
RMW ,PHSW
WDN,PHSW
HGR,PHSW
HR,PHSW
KMM,PHSF
ABH,PHSF
CM,PHSF
SSL,PHSF
KH,PHSH
JLG,PHSH
