KIT,Karlsruher Institut fuer Technologie,0,na,2,4
HSKTW,Hochschule Karlsruhe - Technik und Wirtschaft,0,na,2,4
HSFR,Hochschule fuer Forstwirtschaft Rottenburg,0,na,2,4
HSWUNG,Hochschule fuer Wirtschaft und Umwelt Nuertingen Geislingen,0,na,2,4
HSTS,Hochschule fuer Technik Stuttgart,0,na,2,4
RS,Renate Schubert,1,na,0,0
AK,Andreas Kreimeyer,2,1955,0,0
CET,Claudia Eckert,1,1959,0,0
PG,Petra Gerstenkorn,1,1954,0,0
SKH,Stefan Keh,2,na,0,0
WDL,Wolf-Dieter Lukas,2,1957,0,0
SQ,Stefan Quandt,2,1966,0,0
VS,Viktor Scherer,2,na,0,0
SSZ,Simone Schwanitz,1,1968,0,0
MUH,Marliese Uhrig-Homburg,1,na,0,0
DZ,Dieter Zetsche,2,1953,0,0
ETHWPF,Women Professors Forum,0,na,1,0
FRS,Future Resilience System,0,na,1,0
CFROED,Center for Research on Environmental Decisions,0,na,1,0
OEBUVNW,Oebu,0,na,1,0
SN,Schweizerische Nationalbank ,0,na,1,0
DFG,Deutsche Forschungsgemeinschaft,0,na,1,0
KSA,KS Aktiengesellschaft,0,na,1,0
CHBS,C.H. Boehringer Sohn AG und Co. KG,0,na,1,0
StKa,Stadt Karlsruhe,0,na,1,0
FIFAUIS,Fraunhofer-Institut fuer Angewandte und Integrierte Sicherheit,0,na,1,0
CFASRD,Center for Advanced Security Research Darmstadt,0,na,1,0
VFDF,Verein zur Foerderung eines Deutschen Forschungsnetzes e. V.,0,na,1,0
OFFISII,OFFIS - Institut fuer Informatik,0,na,1,0
BITUNM,"Bundesverband Informationswirtschaft, Telekommunikation und neue Medien",0,na,1,0
ESB,Einstein-Stiftung Berlin,0,na,1,0
ADADT,acatech - Deutsche Akademie der Technikwissenschaften,0,na,1,0
BADW,Bayerische Akademie der Wissenschaften,0,na,1,0
VDV,Vereinte Dienstleistungsgewerkschaft verdi,0,na,1,0
TUB,Technischen Universitaet Berlin,0,na,1,0
MPI,Max-Planck-Institut,0,na,1,0
ALS,Alcatel-Lucent Stiftung,0,na,1,0
JQS,Johanna-Quandt-Stiftung,0,na,1,0
BMWSHQ,BMW Stiftung Herbert Quandt,0,na,1,0
ED,Entrust Datacard,0,na,1,0
HBS,Heinrich-Boell-Stiftung,0,na,1,0
DEK,Deutsch Evangelischer Kirchentag,0,na,1,0
TUIG,TUI Group,0,na,1,0
MBH,Margaretha Barth,1,na,0,0
WG,Wolfgang Grenke,2,1951,0,0
CRR,Carola Richter,1,na,0,0
TR,Tanja Rueckert,1,na,0,0
FP,Frithjof Punke,2,na,0,0
KP,Karlsruher Praesidentinnen,0,na,1,0
FFBB,Freundeskreis Festspielhaus Baden-Baden,0,na,1,0
GS,Grenke-Stiftung,0,na,1,0
SZBB,Schachzentrum Baden-Baden,0,na,1,0
IH,Industrie- und Handelskammer ,0,na,1,0
MKS,Muenchner Kreis,0,na,1,0
ICC,Industrial Consortium Committee,0,na,1,0
AP,Anja Peck ,1,1973,0,0
RP,Roland Proeger ,2,na,0,0
KMR,Klaus Michael Rueckert,2,1967,0,0
BB,Bettina Bernadotte,1,1974,0,0
IB,Iris Bienert,1,na,0,0
GP,Grit Puchan ,2,1960,0,0
VOE,Verwaltungsrat der Oberschwaebischen Elektrizitaetswerke,0,na,1,0
AKLF,Aufsichtsrat der Krankenhaeuser Landkreis Freudenstadt,0,na,1,0
Sp,Sparkasse ,0,na,1,0
NSNS,Nationalpark-Rat des Nationalparks Schwarzwald,0,na,1,0
TBW,Tourismusverband Baden-Wuerttemberg,0,na,1,0
ScTo,Schwarzwald Tourismus ,0,na,1,0
EuMi,Europa Minikoeche,0,na,1,0
UnHo,Universitaet Hohenheim,0,na,1,0
GA,Gaertnern fuer Alle,0,na,1,0
EKFM,Europaeisches KulturForum Mainau,0,na,1,0
TNL,Tagung der Nobelpreistraeger in Lindau,0,na,1,0
PID,Plan International Deutschland,0,na,1,0
HT,Hariolf Teufel,2,na,0,0
MRR,Marc Rueger ,2,na,0,0
SH,Sabine Hagmann ,1,1964,0,0
WP,Waltraud Pustal ,1,na,0,0
SSR,Sven Schneider,2,na,0,0
JS,Jutta Suchanek,1,na,0,0
GePu,Geschichtsverein Pfullingen ,0,na,1,0
MUFBW,Medien- und Film GmbH Baden-Wuerttemberg,0,na,1,0
GB,Guido Bader,2,1972,0,0
MDZ,Maria Dietz,1,na,0,0
JLR,Juergen Laukemper,2,1958,0,0
WS,Walter Schoefer,2,na,0,0
MS,Manuel Schupp,2,1959,0,0
DA,Deutsche Aktuarvereinigung,0,na,1,0
DGVF,Deutsche Gesellschaft fuer Versicherungs- und Finanzmathematik ,0,na,1,0
HVBF,HVB Frauenbeirat,0,na,1,0
FTR,FinTechRat,0,na,1,0
BF,Bitkom Fachausschuss,0,na,1,0
BDA,Bund Deutscher Architekten,0,na,1,0
ENA,European Network Architecture,0,na,1,0
SDV,Studienstiftung des deutschen Volkes ,0,na,1,0
